SEQ,X,Y,Z
386,0.13,0.05,1.09
387,0.23,0.03,1.18
388,0.23,0.03,1.18
389,0.23,0.03,1.18
390,0.23,0.03,1.18
391,0.23,0.03,1.18
392,0.23,0.03,1.18
393,0.23,0.03,1.18
394,0.23,0.03,1.18
395,0.23,0.03,1.18
396,0.23,0.03,1.18
397,0.23,0.03,1.18
398,0.23,0.03,1.18
399,0.06,0.37,1.2
400,0.23,-0.49,1.31
401,0.23,-0.49,1.31
402,0.23,-0.49,1.31
403,0.23,-0.49,1.31
404,0.23,-0.49,1.31
405,0.23,-0.49,1.31
406,0.23,-0.27,1.6
407,0.19,-0.27,1.6
408,0.19,-0.27,1.6
409,0.19,-0.27,1.6
410,0.19,-0.27,1.6
411,0.19,-0.27,1.6
412,0.19,-0.27,1.6
413,0.19,-0.27,1.6
414,0.19,-0.27,1.6
415,0.19,-0.27,1.6
416,0.19,-0.27,1.6
417,0.19,-0.27,1.28
418,0.16,-0.21,1.27
419,0.16,-0.21,1.27
420,0.16,-0.21,1.27
421,0.16,-0.21,1.27
422,0.16,-0.21,1.27
423,0.16,-0.21,1.27
424,0.16,-0.21,1.27
425,0.16,-0.21,1.27
426,0.16,-0.21,1.27
427,0.16,-0.21,1.27
428,0.16,-0.21,1.27
429,0.16,-0.21,1.05
430,0.15,-0.38,1.05
431,0.15,-0.38,1.05
432,0.15,-0.38,1.05
433,0.15,-0.38,1.05
434,0.15,-0.38,1.05
435,0.15,-0.38,1.05
436,0.15,-0.38,1.05
437,0.15,-0.38,1.05
438,0.15,-0.38,1.05
439,0.15,-0.38,1.05
440,0.15,-0.38,1.05
441,0.15,-0.38,0.96
442,0.17,-0.45,0.96
443,0.17,-0.45,0.96
444,0.17,-0.45,0.96
445,0.17,-0.45,0.96
446,0.17,-0.45,0.96
447,0.17,-0.45,0.96
448,0.17,-0.45,0.96
449,0.17,-0.45,0.96
450,0.13,-0.53,0.75
451,0.13,-0.53,0.75
452,0.13,-0.53,0.75
453,0.13,-0.38,0.78
454,0.15,-0.38,0.78
455,0.15,-0.38,0.78
456,0.15,-0.38,0.78
457,0.15,-0.38,0.78
458,0.15,-0.38,0.78
459,0.15,-0.38,0.78
460,0.15,-0.38,0.78
461,0.15,-0.38,0.78
462,0.15,-0.38,0.78
463,0.15,-0.38,0.78
464,0.15,-0.38,0.78
465,0.15,-0.32,0.87
466,0.15,-0.32,0.87
467,0.15,-0.32,0.87
468,0.15,-0.32,0.87
469,0.15,-0.32,0.87
470,0.15,-0.32,0.87
471,0.15,-0.32,0.87
472,0.15,-0.32,0.87
473,0.15,-0.32,0.87
474,0.15,-0.32,0.87
475,0.15,-0.32,0.87
476,0.15,-0.32,0.87
477,0.15,-0.41,0.91
478,0.17,-0.41,0.91
479,0.17,-0.41,0.91
480,0.17,-0.41,0.91
481,0.17,-0.41,0.91
482,0.17,-0.41,0.91
483,0.17,-0.41,0.91
484,0.17,-0.41,0.91
485,0.17,-0.41,0.91
486,0.17,-0.41,0.91
487,0.17,-0.41,0.91
488,0.17,-0.41,0.91
489,0.17,-0.46,0.92
490,0.17,-0.46,0.92
491,0.17,-0.46,0.92
492,0.17,-0.46,0.92
493,0.17,-0.46,0.92
494,0.17,-0.46,0.92
495,0.17,-0.46,0.92
496,0.17,-0.46,0.92
497,0.17,-0.46,0.92
498,0.17,-0.46,0.92
499,0.17,-0.46,0.92
500,0.08,-0.41,0.88
501,0.08,-0.41,0.88
502,0.08,-0.41,0.88
503,0.08,-0.41,0.88
504,0.08,-0.39,0.92
505,0.06,-0.4,0.92
506,0.06,-0.4,0.92
507,0.06,-0.4,0.92
508,0.06,-0.4,0.92
509,0.06,-0.4,0.92
510,0.06,-0.4,0.92
511,0.06,-0.4,0.92
512,0.06,-0.4,0.92
513,0.06,-0.4,0.92
514,0.06,-0.4,0.92
515,0.06,-0.4,0.92
516,0.06,-0.4,0.9
517,0.01,-0.42,0.9
518,0.01,-0.42,0.9
519,0.01,-0.42,0.9
520,0.01,-0.42,0.9
521,0.01,-0.42,0.9
522,0.01,-0.42,0.9
523,0.01,-0.42,0.9
524,0.01,-0.42,0.9
525,0.01,-0.42,0.9
526,0.01,-0.42,0.9
527,0.01,-0.42,0.9
528,0.01,-0.42,0.9
529,-0.02,-0.41,0.9
530,-0.02,-0.41,0.9
531,-0.02,-0.41,0.9
532,-0.02,-0.41,0.9
533,-0.02,-0.41,0.9
534,-0.02,-0.41,0.9
535,-0.02,-0.41,0.9
536,-0.02,-0.41,0.9
537,-0.02,-0.41,0.9
538,-0.02,-0.41,0.9
539,-0.02,-0.41,0.9
540,-0.02,-0.41,0.9
541,-0.04,-0.43,0.88
542,-0.04,-0.43,0.88
543,-0.04,-0.43,0.88
544,-0.04,-0.43,0.88
545,-0.04,-0.43,0.88
546,-0.04,-0.43,0.88
547,-0.04,-0.43,0.88
548,-0.04,-0.43,0.88
549,-0.04,-0.43,0.88
550,0.02,-0.4,0.93
551,0.02,-0.4,0.93
552,0.02,-0.4,0.93
553,0.02,-0.4,0.93
554,0.02,-0.4,0.93
555,0.02,-0.4,0.93
556,0.02,-0.4,0.93
557,0.04,-0.35,0.93
558,0.04,-0.35,0.93
559,0.04,-0.35,0.93
560,0.04,-0.35,0.93
