SEQ,X,Y,Z
432,-0,-0.27,0.98
433,-0,-0.27,0.98
434,-0,-0.27,0.98
435,-0,-0.27,0.98
436,-0,-0.27,0.98
437,-0,-0.27,0.98
438,-0,-0.27,0.98
439,-0,-0.27,0.98
440,-0,-0.27,0.98
441,-0,-0.27,0.93
442,-0.01,-0.15,0.93
443,-0.01,-0.15,0.93
444,-0.01,-0.15,0.93
445,-0.01,-0.15,0.93
446,-0.01,-0.15,0.93
447,-0.01,-0.15,0.93
448,-0.01,-0.15,0.93
449,-0.01,-0.15,0.93
450,0.02,-0.08,0.99
451,0.02,-0.08,0.99
452,0.02,-0.08,0.99
453,0.02,-0.08,0.99
454,0.02,-0.08,0.99
455,0.02,-0.08,0.99
456,0.02,-0.08,0.99
457,0.02,-0.08,1.01
458,0.05,-0.05,1.01
459,0.05,-0.05,1.01
460,0.05,-0.05,1.01
461,0.05,-0.05,1.01
462,0.05,-0.05,1.01
463,0.05,-0.05,1.01
464,0.05,-0.05,1.01
465,0.05,-0.05,1.01
466,0.05,-0.05,1.01
467,0.05,-0.05,1.01
468,0.05,-0.05,1.01
469,0.05,-0.05,1.01
470,0.01,-0.09,1.01
471,0.01,-0.09,1.01
472,0.01,-0.09,1.01
473,0.01,-0.09,1.01
474,0.01,-0.09,1.01
475,0.01,-0.09,1.01
476,0.01,-0.09,1.01
477,0.01,-0.09,1.01
478,0.01,-0.09,1.01
479,0.01,-0.09,1.01
480,0.01,-0.09,1.01
481,0.01,-0.09,1.01
482,0.02,-0.11,1.02
483,0.02,-0.11,1.02
484,0.02,-0.11,1.02
485,0.02,-0.11,1.02
486,0.02,-0.11,1.02
487,0.02,-0.11,1.02
488,0.02,-0.11,1.02
489,0.02,-0.11,1.02
490,0.02,-0.11,1.02
491,0.02,-0.11,1.02
492,0.02,-0.11,1.02
493,0.02,-0.11,1.02
494,-0,-0.1,1.06
495,-0,-0.1,1.06
496,-0,-0.1,1.06
497,-0,-0.1,1.06
498,-0,-0.1,1.06
499,-0,-0.1,1.06
500,0.01,-0.02,0.99
501,0.01,-0.02,0.99
502,0.01,-0.02,0.99
503,0.01,-0.02,0.99
504,0.01,-0.02,0.99
505,0.01,-0.02,0.99
506,0.01,-0.02,0.99
507,0,-0.04,1.02
508,0,-0.04,1.02
509,0,-0.04,1.02
510,0,-0.04,1.02
511,0,-0.04,1.02
512,0,-0.04,1.02
513,0,-0.04,1.02
514,0,-0.04,1.02
515,0,-0.04,1.02
516,0,-0.04,1.02
517,0,-0.04,1.02
518,0,-0.04,1.02
519,0.01,-0.02,1
520,0.01,-0.02,1
521,0.01,-0.02,1
522,0.01,-0.02,1
523,0.01,-0.02,1
524,0.01,-0.02,1
525,0.01,-0.02,1
526,0.01,-0.02,1
527,0.01,-0.02,1
528,0.01,-0.02,1
529,0.01,-0.02,1
530,0.01,-0.02,1
531,0.01,0,0.98
532,0.01,0,0.98
533,0.01,0,0.98
534,0.01,0,0.98
535,0.01,0,0.98
536,0.01,0,0.98
537,0.01,0,0.98
538,0.01,0,0.98
539,0.01,0,0.98
540,0.01,0,0.98
541,0.01,0,0.98
542,0.01,0,0.98
543,0.03,-0,0.98
544,0.03,-0,0.98
545,0.03,-0,0.98
546,0.03,-0,0.98
547,0.03,-0,0.98
548,0.03,-0,0.98
549,0.03,-0,0.98
550,0.01,-0.02,0.99
551,-0,-0.03,1.01
552,-0,-0.03,1.01
553,-0,-0.03,1.01
554,-0,-0.03,1.01
555,-0,-0.03,1.01
556,-0,-0.03,1.01
557,-0,-0.03,1.01
558,-0,-0.03,1.01
559,-0,-0.03,1.01
560,-0,-0.03,1.01
561,-0,-0.03,1.01
562,-0,-0.03,1.01
563,-0.01,-0.01,1.01
564,-0.01,-0.01,1.01
565,-0.01,-0.01,1.01
566,-0.01,-0.01,1.01
567,-0.01,-0.01,1.01
568,-0.01,-0.01,1.01
569,-0.01,-0.01,1.01
570,-0.01,-0.01,1.01
571,-0.01,-0.01,1.01
572,-0.01,-0.01,1.01
573,-0.01,-0.01,1.01
574,-0.01,-0.01,0.98
575,0.02,-0.01,0.99
576,0.02,-0.01,0.99
577,0.02,-0.01,0.99
578,0.02,-0.01,0.99
579,0.02,-0.01,0.99
580,0.02,-0.01,0.99
581,0.02,-0.01,0.99
582,0.02,-0.01,0.99
583,0.02,-0.01,0.99
584,0.02,-0.01,0.99
585,0.02,-0.01,0.99
586,0.02,-0.01,0.99
587,0.02,-0.02,0.98
588,0.02,-0.02,0.98
589,0.02,-0.02,0.98
590,0.02,-0.02,0.98
591,0.02,-0.02,0.98
592,0.02,-0.02,0.98
593,0.02,-0.02,0.98
594,0.02,-0.02,0.98
595,0.02,-0.02,0.98
596,0.02,-0.02,0.98
597,0.02,-0.02,0.98
598,0.02,-0.02,0.98
599,0.02,-0,1
600,0.01,-0.02,0.99
601,0.01,-0.02,0.96
602,0.04,-0.01,0.96
603,0.04,-0.01,0.96
604,0.04,-0.01,0.96
605,0.04,-0.01,0.96
606,0.04,-0.01,0.96
607,0.04,-0.01,0.96
608,0.04,-0.01,0.96
609,0.04,-0.01,0.96
610,0.04,-0.01,0.96
611,0.04,-0.01,0.96
612,0.04,-0.01,0.96
613,0.04,-0.01,1.01
614,0.04,-0,1.01
615,0.04,-0,1.01
616,0.04,-0,1.01
617,0.04,-0,1.01
618,0.04,-0,1.01
619,0.04,-0,1.01
620,0.04,-0,1.01
621,0.04,-0,1.01
622,0.04,-0,1.01
623,0.04,-0,1.01
624,0.04,-0,1.01
625,0.04,-0,0.98
626,0.04,-0.01,0.97
627,0.04,-0.01,0.97
628,0.04,-0.01,0.97
629,0.04,-0.01,0.97
630,0.04,-0.01,0.97
631,0.04,-0.01,0.97
632,0.04,-0.01,0.97
633,0.04,-0.01,0.97
634,0.04,-0.01,0.97
635,0.04,-0.01,0.97
636,0.04,-0.01,0.97
637,0.04,-0.01,0.97
638,0.04,-0.01,0.98
639,0.04,-0.01,0.98
640,0.04,-0.01,0.98
641,0.04,-0.01,0.98
642,0.04,-0.01,0.98
643,0.04,-0.01,0.98
644,0.04,-0.01,0.98
645,0.04,-0.01,0.98
646,0.04,-0.01,0.98
647,0.04,-0.01,0.98
648,0.04,-0.01,0.98
649,0,-0.01,1
650,0.01,-0.01,0.99
651,0.01,-0.01,0.99
652,0.01,-0.01,0.99
