SEQ,X,Y,Z
352,0.03,-0.27,0.99
353,0.03,-0.27,0.99
354,0.03,-0.27,0.99
355,0.03,-0.27,0.99
356,0.03,-0.27,0.99
357,0.03,-0.27,0.99
358,0.03,-0.27,0.99
359,0.14,-0.21,0.99
360,0.14,-0.21,0.99
361,0.14,-0.21,0.99
362,0.14,-0.21,0.99
363,0.14,-0.21,0.99
364,0.14,-0.21,0.99
365,0.14,-0.21,0.99
366,0.14,-0.21,0.99
367,0.14,-0.21,0.99
368,0.14,-0.21,0.99
369,0.14,-0.21,0.99
370,0.14,-0.21,1.02
371,0.27,-0.41,1.02
372,0.27,-0.41,1.02
373,0.27,-0.41,1.02
374,0.27,-0.41,1.02
375,0.27,-0.41,1.02
376,0.27,-0.41,1.02
377,0.27,-0.41,1.02
378,0.27,-0.41,1.02
379,0.27,-0.41,1.02
380,0.27,-0.41,1.02
381,0.27,-0.41,1.02
382,0.27,-0.41,1
383,0.43,-0.77,0.99
384,0.43,-0.77,0.99
385,0.43,-0.77,0.99
386,0.43,-0.77,0.99
387,0.43,-0.77,0.99
388,0.43,-0.77,0.99
389,0.43,-0.77,0.99
390,0.43,-0.77,0.99
391,0.43,-0.77,0.99
392,0.43,-0.77,0.99
393,0.43,-0.77,0.99
394,0.43,-0.77,0.99
395,0.48,-0.6,1.01
396,0.48,-0.6,1.01
397,0.48,-0.6,1.01
398,0.48,-0.6,1.01
399,0.48,-0.6,1.01
400,0.64,0.46,0.98
401,0.33,0.3,1.05
402,0.33,0.3,1.05
403,0.33,0.3,1.05
404,0.33,0.3,1.05
405,0.33,0.3,1.05
406,0.33,0.3,1.05
407,0.33,0.3,1.05
408,0.33,0.3,1.05
409,0.33,0.3,1.05
410,0.33,0.3,1.05
411,0.33,0.3,1.05
412,0.33,0.26,0.99
413,0.14,0.26,0.99
414,0.14,0.26,0.99
415,0.14,0.26,0.99
416,0.14,0.26,0.99
417,0.14,0.26,0.99
418,0.14,0.26,0.99
419,0.14,0.26,0.99
420,0.14,0.26,0.99
421,0.14,0.26,0.99
422,0.14,0.26,0.99
423,0.14,0.26,0.99
424,0.14,0.17,0.93
425,0.1,0.17,0.93
426,0.1,0.17,0.93
427,0.1,0.17,0.93
428,0.1,0.17,0.93
429,0.1,0.17,0.93
430,0.1,0.17,0.93
431,0.1,0.17,0.93
432,0.1,0.17,0.93
433,0.1,0.17,0.93
434,0.1,0.17,0.93
435,0.1,0.17,0.93
436,0.1,0.17,0.98
437,0.11,0.14,0.98
438,0.11,0.14,0.98
439,0.11,0.14,0.98
440,0.11,0.14,0.98
441,0.11,0.14,0.98
442,0.11,0.14,0.98
443,0.11,0.14,0.98
444,0.11,0.14,0.98
445,0.11,0.14,0.98
446,0.11,0.14,0.98
447,0.11,0.14,0.98
448,0.11,0.14,0.95
449,0.25,0.1,0.95
450,0.08,-0.08,1.01
451,0.1,-0.03,0.94
452,0.1,-0.03,0.94
453,0.1,-0.03,0.94
454,0.1,-0.03,0.94
455,0.1,-0.03,0.94
456,0.1,-0.03,0.94
457,0.1,-0.03,0.94
458,0.1,-0.03,0.94
459,0.1,-0.03,0.94
460,0.1,-0.03,0.94
461,0.1,-0.03,0.94
462,0.1,-0.03,0.98
463,0.11,-0,0.98
464,0.11,-0,0.98
465,0.11,-0,0.98
466,0.11,-0,0.98
467,0.11,-0,0.98
468,0.11,-0,0.98
469,0.11,-0,0.98
470,0.11,-0,0.98
471,0.11,-0,0.98
472,0.11,-0,0.98
473,0.11,-0,0.98
474,0.11,-0,0.94
475,0.09,-0.04,0.94
476,0.09,-0.04,0.94
477,0.09,-0.04,0.94
478,0.09,-0.04,0.94
479,0.09,-0.04,0.94
480,0.09,-0.04,0.94
481,0.09,-0.04,0.94
482,0.09,-0.04,0.94
483,0.09,-0.04,0.94
484,0.09,-0.04,0.94
485,0.09,-0.04,0.94
486,0.09,-0.04,0.94
487,0.08,-0.04,0.95
488,0.08,-0.04,0.95
489,0.08,-0.04,0.95
490,0.08,-0.04,0.95
491,0.08,-0.04,0.95
492,0.08,-0.04,0.95
493,0.08,-0.04,0.95
494,0.08,-0.04,0.95
