SEQ,X,Y,Z
403,-0.01,0.04,0.98
404,-0.01,0.04,0.98
405,-0.01,0.04,0.98
406,-0.01,0.04,0.99
407,-0.01,0.04,0.99
408,-0.01,0.04,0.99
409,-0.01,0.04,0.99
410,-0.01,0.04,0.99
411,-0.01,0.04,0.99
412,-0.01,0.04,0.99
413,-0.01,0.04,0.99
414,-0.01,0.04,0.99
415,-0.01,0.04,0.99
416,-0.01,0.04,0.99
417,-0.01,0.04,0.99
418,-0.01,0.04,0.96
419,-0.03,0.05,0.96
420,-0.03,0.05,0.96
421,-0.03,0.05,0.96
422,-0.03,0.05,0.96
423,-0.03,0.05,0.96
424,-0.03,0.05,0.96
425,-0.03,0.05,0.96
426,-0.03,0.05,0.96
427,-0.03,0.05,0.96
428,-0.03,0.05,0.96
429,-0.03,0.05,0.96
430,-0.03,0.05,0.93
431,-0.01,0.04,0.94
432,-0.01,0.04,0.94
433,-0.01,0.04,0.94
434,-0.01,0.04,0.94
435,-0.01,0.04,0.94
436,-0.01,0.04,0.94
437,-0.01,0.04,0.94
438,-0.01,0.04,0.94
439,-0.01,0.04,0.94
440,-0.01,0.04,0.94
441,-0.01,0.04,0.94
442,-0.01,0.04,0.94
443,-0.01,0.04,0.97
444,-0.01,0.04,0.97
445,-0.01,0.04,0.97
446,-0.01,0.04,0.97
447,-0.01,0.04,0.97
448,-0.01,0.04,0.97
449,-0.01,0.04,0.97
450,-0,0.08,0.92
451,-0,0.08,0.92
452,-0,0.08,0.92
453,-0,0.08,0.92
454,-0,0.08,0.92
455,-0,0.08,0.92
456,-0,0.08,0.92
457,-0,0.09,0.93
458,-0.01,0.09,0.93
459,-0.01,0.09,0.93
460,-0.01,0.09,0.93
461,-0.01,0.09,0.93
462,-0.01,0.09,0.93
463,-0.01,0.09,0.93
464,-0.01,0.09,0.93
465,-0.01,0.09,0.93
466,-0.01,0.09,0.93
467,-0.01,0.09,0.93
468,-0.01,0.09,0.93
469,-0.01,0.09,0.87
470,-0.04,0.11,0.87
471,-0.04,0.11,0.87
472,-0.04,0.11,0.87
473,-0.04,0.11,0.87
474,-0.04,0.11,0.87
475,-0.04,0.11,0.87
476,-0.04,0.11,0.87
477,-0.04,0.11,0.87
478,-0.04,0.11,0.87
479,-0.04,0.11,0.87
480,-0.04,0.11,0.87
481,-0.04,0.11,0.85
482,-0.03,0.11,0.85
483,-0.03,0.11,0.85
484,-0.03,0.11,0.85
485,-0.03,0.11,0.85
486,-0.03,0.11,0.85
487,-0.03,0.11,0.85
488,-0.03,0.11,0.85
489,-0.03,0.11,0.85
490,-0.03,0.11,0.85
491,-0.03,0.11,0.85
492,-0.03,0.11,0.85
493,-0.03,0.11,0.85
494,-0.04,0.1,0.78
495,-0.04,0.1,0.78
496,-0.04,0.1,0.78
497,-0.04,0.1,0.78
498,-0.04,0.1,0.78
499,-0.04,0.1,0.78
500,0.01,0.04,0.79
501,0.01,0.04,0.79
502,0.01,0.04,0.79
503,0.01,0.04,0.79
504,0.01,0.04,0.79
505,0.01,0.04,0.79
506,0.01,0.04,0.79
507,0.01,0.04,0.79
508,0.01,0.04,0.79
509,0,0.01,0.8
510,0,0.01,0.8
511,0,0.01,0.8
512,0,0.01,0.8
513,0,0.01,0.8
514,0,0.01,0.8
515,0,0.01,0.8
516,0,0.01,0.8
517,0,0.01,0.8
518,0,0.01,0.8
519,0,0.01,0.8
520,0,0.01,0.8
521,-0.01,-0.01,0.83
522,-0.01,-0.01,0.83
523,-0.01,-0.01,0.83
524,-0.01,-0.01,0.83
525,-0.01,-0.01,0.83
526,-0.01,-0.01,0.83
527,-0.01,-0.01,0.83
528,-0.01,-0.01,0.83
529,-0.01,-0.01,0.83
530,-0.01,-0.01,0.83
531,-0.01,-0.01,0.83
532,-0.01,-0.01,0.86
533,-0.03,-0.01,0.86
534,-0.03,-0.01,0.86
535,-0.03,-0.01,0.86
536,-0.03,-0.01,0.86
537,-0.03,-0.01,0.86
538,-0.03,-0.01,0.86
539,-0.03,-0.01,0.86
540,-0.03,-0.01,0.86
541,-0.03,-0.01,0.86
542,-0.03,-0.01,0.86
543,-0.03,-0.01,0.86
544,-0.03,-0.01,0.86
545,-0.05,-0.02,0.84
546,-0.05,-0.02,0.84
547,-0.05,-0.02,0.84
548,-0.05,-0.02,0.84
549,-0.05,-0.02,0.84
550,-0.08,-0.1,0.75
551,-0.08,-0.1,0.75
552,-0.08,-0.1,0.75
553,-0.08,-0.1,0.75
554,-0.08,-0.1,0.75
555,-0.08,-0.1,0.75
556,-0.08,-0.1,0.75
557,-0.08,-0.1,0.75
558,-0.08,-0.1,0.75
559,-0.08,-0.1,0.75
560,-0.07,-0.09,0.77
561,-0.07,-0.09,0.77
562,-0.07,-0.09,0.77
563,-0.07,-0.09,0.77
564,-0.07,-0.09,0.77
565,-0.07,-0.09,0.77
566,-0.07,-0.09,0.77
567,-0.07,-0.09,0.77
568,-0.07,-0.09,0.77
569,-0.07,-0.09,0.77
570,-0.07,-0.09,0.77
571,-0.07,-0.09,0.77
572,-0.01,-0.03,0.86
573,-0.01,-0.03,0.86
574,-0.01,-0.03,0.86
575,-0.01,-0.03,0.86
576,-0.01,-0.03,0.86
577,-0.01,-0.03,0.86
578,-0.01,-0.03,0.86
579,-0.01,-0.03,0.86
580,-0.01,-0.03,0.86
581,-0.01,-0.03,0.86
582,-0.01,-0.03,0.86
583,-0.01,-0.03,0.86
584,-0.01,0.01,0.93
585,-0.01,0.01,0.93
586,-0.01,0.01,0.93
587,-0.01,0.01,0.93
588,-0.01,0.01,0.93
589,-0.01,0.01,0.93
590,-0.01,0.01,0.93
591,-0.01,0.01,0.93
592,-0.01,0.01,0.93
593,-0.01,0.01,0.93
594,-0.01,0.01,0.93
595,-0.01,0.01,0.93
596,-0.01,0.03,0.82
597,-0.01,0.03,0.82
598,-0.01,0.03,0.82
599,-0.01,0.03,0.82
600,-0.02,0.02,0.98
601,-0.02,0.02,0.98
602,0.04,0.02,1.01
603,0.04,0.02,1.01
604,0.04,0.02,1.01
605,0.04,0.02,1.01
606,0.04,0.02,1.01
607,0.04,0.02,1.01
608,0.04,0.02,1.01
609,0.04,0.02,1.01
610,0.04,0.02,1.01
611,0.04,0.02,1.01
612,0.04,0.02,1.01
613,0.04,0.02,1.01
614,0.1,0.06,0.98
615,0.11,0.06,0.98
616,0.11,0.06,0.98
617,0.11,0.06,0.98
618,0.11,0.06,0.98
619,0.11,0.06,0.98
620,0.11,0.06,0.98
621,0.11,0.06,0.98
622,0.11,0.06,0.98
623,0.11,0.06,0.98
624,0.11,0.06,0.98
625,0.11,0.06,0.98
626,0.11,0.07,0.99
627,0.09,0.07,0.99
628,0.09,0.07,0.99
629,0.09,0.07,0.99
630,0.09,0.07,0.99
631,0.09,0.07,0.99
632,0.09,0.07,0.99
633,0.09,0.07,0.99
