NUM,SEQ,IR,RED,X,Y,Z
1,27158,122210,91813,-0.2,-0.54,0.81
1,27159,122314,91844,-0.2,-0.54,0.81
1,27160,122320,91849,-0.2,-0.54,0.81
1,27161,122376,91849,-0.2,-0.54,0.81
1,27162,122426,91885,-0.2,-0.54,0.81
1,27163,122487,91896,-0.2,-0.54,0.81
1,27164,122557,91923,-0.2,-0.54,0.81
1,27165,122673,91963,-0.2,-0.54,0.81
1,27166,122740,91992,-0.2,-0.54,0.81
1,27167,122864,91940,-0.2,-0.54,0.81
1,27168,122878,92041,-0.2,-0.54,0.8
1,27169,123007,92076,-0.2,-0.54,0.81
1,27170,123194,92081,-0.2,-0.54,0.81
1,27171,123284,92076,-0.2,-0.54,0.81
1,27172,123343,92153,-0.2,-0.54,0.81
1,27173,123493,92172,-0.2,-0.54,0.8
1,27174,123607,92217,-0.21,-0.54,0.81
1,27175,123639,92121,-0.21,-0.54,0.81
1,27176,122679,91823,-0.2,-0.55,0.81
1,27177,122220,91813,-0.2,-0.54,0.81
1,27178,122256,91805,-0.2,-0.54,0.81
1,27179,122268,91845,-0.2,-0.54,0.81
1,27180,122292,91781,-0.21,-0.54,0.81
1,27181,122210,91828,-0.2,-0.54,0.81
1,27182,122327,91794,-0.2,-0.54,0.81
1,27183,122327,91859,-0.2,-0.54,0.81
1,27184,122421,91847,-0.2,-0.54,0.81
1,27185,122425,91808,-0.2,-0.54,0.81
1,27186,122394,91876,-0.2,-0.54,0.81
1,27187,122510,91882,-0.2,-0.54,0.81
1,27188,122570,91908,-0.2,-0.54,0.81
1,27189,122634,91883,-0.2,-0.54,0.81
1,27190,122652,91940,-0.2,-0.54,0.81
1,27191,122775,91944,-0.2,-0.54,0.81
1,27192,122834,91934,-0.2,-0.54,0.81
1,27193,122823,92002,-0.2,-0.54,0.81
1,27194,122998,92005,-0.2,-0.54,0.81
1,27195,123034,92062,-0.2,-0.54,0.8
1,27196,123157,92034,-0.2,-0.54,0.8
1,27197,123185,92067,-0.19,-0.54,0.81
1,27198,123319,92060,-0.2,-0.53,0.81
1,27199,122683,91827,-0.2,-0.55,0.81
1,27200,122101,91709,-0.2,-0.54,0.81
1,27201,122075,91742,-0.2,-0.55,0.8
1,27202,122168,91753,-0.2,-0.54,0.81
1,27203,122237,91730,-0.2,-0.54,0.81
1,27204,122219,91700,-0.2,-0.54,0.81
1,27205,122141,91748,-0.19,-0.55,0.8
1,27206,122220,91723,-0.19,-0.54,0.8
1,27207,122272,91767,-0.19,-0.55,0.8
1,27208,122323,91795,-0.2,-0.54,0.81
1,27209,122436,91789,-0.2,-0.54,0.81
1,27210,122405,91811,-0.2,-0.55,0.8
1,27211,122482,91839,-0.2,-0.55,0.81
1,27212,122557,91849,-0.2,-0.54,0.81
1,27213,122585,91887,-0.2,-0.54,0.81
1,27214,122703,91882,-0.2,-0.54,0.8
1,27215,122775,91963,-0.2,-0.55,0.81
1,27216,122897,91961,-0.19,-0.54,0.81
1,27217,122976,91992,-0.2,-0.54,0.81
1,27218,122574,91754,-0.19,-0.54,0.8
1,27219,122016,91678,-0.2,-0.55,0.81
