SEQ,IR1,RED1,IR2,RED2,IR3,RED3,IR4,RED4
171,4759,4281,116772,91478,262143,262143,262143,262143
172,4748,4338,116857,91438,262143,262143,262143,262143
173,4775,4310,116905,91493,262143,262143,262143,262143
174,4773,4321,116984,91498,262143,262143,262143,262143
175,4756,4316,116989,91536,262143,262143,262143,262143
176,4783,4302,117090,91532,262143,262143,262143,262143
177,4789,4300,117115,91526,262143,262143,262143,262143
178,4710,4302,116994,91425,262143,262143,262143,262143
179,4759,4281,116804,91429,262143,262143,262143,262143
180,4756,4302,116759,91368,262143,262143,262143,262143
181,4733,4310,116717,91431,262143,262143,262143,262143
182,4765,4296,116684,91411,262143,262143,262143,262143
183,4765,4333,116693,91460,262143,262143,262143,262143
184,4753,4306,116766,91426,262143,262143,262143,262143
185,4742,4340,116681,91452,262143,262143,262143,262143
186,4774,4303,116780,91447,262143,262143,262143,262143
187,4806,4301,116769,91445,262143,262143,262143,262143
188,4736,4311,116880,91479,262143,262143,262143,262143
189,4759,4334,116881,91551,262143,262143,262143,262143
190,4777,4309,117004,91521,262143,262143,262143,262143
191,4744,4306,117075,91560,262143,262143,262143,262143
192,4808,4321,117089,91556,262143,262143,262143,262143
193,4776,4317,117182,91594,262143,262143,262143,262143
194,4790,4313,117219,91596,262143,262143,262143,262143
195,4758,4340,117303,91638,262143,262143,262143,262143
196,4738,4270,117346,91652,262143,262143,262143,262143
197,4758,4289,117266,91585,262143,262143,262143,262143
198,4709,4306,117072,91549,262143,262143,262143,262143
199,4737,4339,116947,91510,262143,262143,262143,262143
200,4751,4299,116899,91502,262143,262143,262143,262143
201,4739,4327,116959,91533,262143,262143,262143,262143
202,4756,4298,116956,91522,262143,262143,262143,262143
203,4727,4314,116942,91561,262143,262143,262143,262143
204,4757,4310,117018,91570,262143,262143,262143,262143
205,4730,4307,117036,91577,262143,262143,262143,262143
206,4760,4327,117111,91611,262143,262143,262143,262143
207,4757,4317,117132,91605,262143,262143,262143,262143
208,4785,4276,117195,91601,262143,262143,262143,262143
209,4804,4318,117274,91617,262143,262143,262143,262143
210,4796,4293,117243,91660,262143,262143,262143,262143
211,4727,4297,117370,91642,262143,262143,262143,262143
212,4732,4268,117420,91651,262143,262143,262143,262143
213,4705,4304,117474,91688,262143,262143,262143,262143
214,4744,4310,117379,91630,262143,262143,262143,262143
215,4741,4317,117191,91589,262143,262143,262143,262143
216,4753,4280,117098,91536,262143,262143,262143,262143
217,4757,4335,117119,91543,262143,262143,262143,262143
218,4751,4275,117049,91524,262143,262143,262143,262143
219,4776,4313,117013,91552,262143,262143,262143,262143
220,4757,4310,117064,91544,262143,262143,262143,262143
221,4761,4302,117081,91569,262143,262143,262143,262143
222,4731,4307,117105,91584,262143,262143,262143,262143
223,4738,4310,117103,91589,262143,262143,262143,262143
224,4757,4321,117142,91610,262143,262143,262143,262143
225,4767,4320,117246,91655,262143,262143,262143,262143
226,4798,4293,117287,91618,262143,262143,262143,262143
227,4735,4322,117373,91633,262143,262143,262143,262143
228,4767,4338,117377,91672,262143,262143,262143,262143
229,4759,4315,117442,91672,262143,262143,262143,262143
230,4758,4315,117432,91687,262143,262143,262143,262143
231,4758,4299,117559,91675,262143,262143,262143,262143
232,4726,4336,117430,91653,262143,262143,262143,262143
233,4739,4299,117176,91559,262143,262143,262143,262143
234,4707,4301,117077,91550,262143,262143,262143,262143
235,4744,4326,117074,91535,262143,262143,262143,262143
236,4760,4303,116962,91503,262143,262143,262143,262143
237,4731,4329,117008,91525,262143,262143,262143,262143
238,4740,4311,117004,91550,262143,262143,262143,262143
239,4769,4280,117052,91560,262143,262143,262143,262143
240,4739,4280,117105,91542,262143,262143,262143,262143
241,4774,4311,117069,91577,262143,262143,262143,262143
242,4731,4345,117135,91630,262143,262143,262143,262143
243,4769,4312,117207,91603,262143,262143,262143,262143
244,4726,4307,117190,91599,262143,262143,262143,262143
245,4795,4285,117263,91664,262143,262143,262143,262143
246,4732,4268,117297,91622,262143,262143,262143,262143
247,4749,4291,117397,91654,262143,262143,262143,262143
248,4694,4303,117390,91694,262143,262143,262143,262143
249,4740,4295,117487,91715,262143,262143,262143,262143
250,4735,4293,117011,91518,262143,262143,262143,262143
251,4730,4296,116980,91476,262143,262143,262143,262143
252,4719,4323,116898,91507,262143,262143,262143,262143
253,4750,4289,116863,91534,262143,262143,262143,262143
254,4703,4314,116925,91524,262143,262143,262143,262143
255,4765,4282,116971,91518,262143,262143,262143,262143
256,4710,4311,116957,91580,262143,262143,262143,262143
257,4784,4278,117005,91506,262143,262143,262143,262143
258,4755,4333,117061,91576,262143,262143,262143,262143
259,4750,4305,117095,91573,262143,262143,262143,262143
260,4736,4346,117130,91594,262143,262143,262143,262143
261,4735,4300,117176,91613,262143,262143,262143,262143
262,4704,4321,117221,91657,262143,262143,262143,262143
