time,IR,RED,HR,RR,SP02
25.22,226159,217005,62.5,13.1578947368421,98.2847005010514
25.24,226253,216911,62.5,13.1578947368421,98.2847005010514
25.26,226444,216902,63.8297872340426,13.1578947368421,98.2847005010514
25.28,226403,217090,63.8297872340426,13.1578947368421,98.2847005010514
25.3,226523,216917,63.8297872340426,13.1578947368421,98.2847005010514
25.32,226550,216988,63.8297872340426,13.1578947368421,98.2847005010514
25.34,226646,217144,63.8297872340426,13.1578947368421,98.2847005010514
25.36,226717,217047,63.8297872340426,13.1578947368421,98.2847005010514
25.38,226726,217029,63.8297872340426,13.1578947368421,98.2847005010514
25.4,226358,217133,63.8297872340426,13.1578947368421,98.2847005010514
25.42,226052,216852,63.8297872340426,13.1578947368421,98.2847005010514
25.44,225764,216748,63.8297872340426,13.1578947368421,98.2847005010514
25.46,225320,216777,63.8297872340426,13.1578947368421,98.2847005010514
25.48,225024,216481,63.8297872340426,13.1578947368421,98.2847005010514
25.5,224861,216427,63.8297872340426,13.1578947368421,98.2847005010514
25.52,224496,216482,63.8297872340426,13.1578947368421,98.2847005010514
25.54,224315,216303,63.8297872340426,13.1578947368421,98.2847005010514
25.56,224237,216187,63.8297872340426,13.1578947368421,98.2847005010514
25.58,223948,216312,63.8297872340426,13.1578947368421,98.2847005010514
25.6,223961,216138,63.8297872340426,13.1578947368421,98.2847005010514
25.62,223973,216205,63.8297872340426,13.1578947368421,98.2847005010514
25.64,224014,216199,63.8297872340426,13.1578947368421,98.2847005010514
25.66,224109,216241,63.8297872340426,13.1578947368421,98.2847005010514
25.68,224134,216227,63.8297872340426,13.1578947368421,98.2847005010514
25.7,224139,216266,63.8297872340426,13.1578947368421,98.2847005010514
25.72,224134,216257,63.8297872340426,13.1578947368421,98.2847005010514
25.74,224173,216268,63.8297872340426,13.1578947368421,98.2847005010514
25.76,224208,216260,63.8297872340426,13.1578947368421,98.2847005010514
25.78,224300,216296,63.8297872340426,13.1578947368421,98.2847005010514
25.8,224335,216250,63.8297872340426,13.1578947368421,98.2847005010514
25.82,224388,216334,63.8297872340426,13.1578947368421,98.2847005010514
25.84,224422,216371,63.8297872340426,13.1578947368421,98.2847005010514
25.86,224552,216345,63.8297872340426,13.1578947368421,98.2847005010514
25.88,224632,216540,63.8297872340426,13.1578947368421,98.2847005010514
25.9,224678,216399,63.8297872340426,13.1578947368421,98.2847005010514
25.92,224731,216509,63.8297872340426,13.1578947368421,98.2847005010514
25.94,224843,216408,63.8297872340426,13.1578947368421,98.2847005010514
25.96,224885,216490,63.8297872340426,13.1578947368421,98.2847005010514
25.98,224991,216569,63.8297872340426,13.1578947368421,98.2847005010514
26,225007,216485,63.8297872340426,13.1578947368421,98.2847005010514
26.02,225112,216579,63.8297872340426,13.1578947368421,98.2847005010514
26.04,225107,216564,63.8297872340426,13.1578947368421,98.2847005010514
26.06,225236,216610,63.8297872340426,13.1578947368421,98.2847005010514
26.08,225303,216687,63.8297872340426,13.1578947368421,98.2847005010514
26.1,225380,216638,63.8297872340426,13.1578947368421,98.2847005010514
26.12,225515,216690,63.8297872340426,13.1578947368421,98.2847005010514
26.14,225561,216761,63.8297872340426,13.1578947368421,98.2847005010514
26.16,225590,216714,63.8297872340426,13.1578947368421,98.2847005010514
26.18,225699,216752,63.8297872340426,13.1578947368421,98.2847005010514
26.2,225783,216798,61.2244897959184,13.1578947368421,98.2847005010514
26.22,225844,216798,61.2244897959184,13.1578947368421,98.2847005010514
26.24,225941,216787,61.2244897959184,13.1578947368421,98.2847005010514
26.26,225988,216924,61.2244897959184,13.1578947368421,98.2847005010514
26.28,226096,216878,61.2244897959184,13.1578947368421,98.2847005010514
26.3,226176,216923,61.2244897959184,13.1578947368421,98.2847005010514
26.32,226067,216992,61.2244897959184,13.1578947368421,98.2847005010514
26.34,225735,216822,61.2244897959184,13.1578947368421,98.2847005010514
26.36,225476,216742,61.2244897959184,13.1578947368421,98.2847005010514
26.38,225109,216641,61.2244897959184,13.1578947368421,98.2847005010514
26.4,224767,216470,61.2244897959184,13.1578947368421,98.2847005010514
26.42,224523,216367,61.2244897959184,13.1578947368421,98.2847005010514
26.44,224294,216336,61.2244897959184,13.1578947368421,98.2847005010514
26.46,224118,216209,61.2244897959184,13.1578947368421,98.2847005010514
26.48,223919,216106,61.2244897959184,13.1578947368421,98.2847005010514
26.5,223793,216132,61.2244897959184,13.1578947368421,98.2847005010514
26.52,223714,216077,61.2244897959184,13.1578947368421,98.2847005010514
26.54,223779,215911,61.2244897959184,13.1578947368421,98.2847005010514
26.56,223745,216196,61.2244897959184,13.1578947368421,98.2847005010514
26.58,223914,215955,61.2244897959184,13.1578947368421,98.2847005010514
26.6,223908,216226,61.2244897959184,13.1578947368421,98.2847005010514
26.62,224026,216007,61.2244897959184,13.1578947368421,98.2847005010514
26.64,223979,216258,61.2244897959184,13.1578947368421,98.2847005010514
26.66,224095,216027,61.2244897959184,13.1578947368421,98.2847005010514
26.68,224060,216288,61.2244897959184,13.1578947368421,98.2847005010514
26.7,224206,216078,61.2244897959184,13.1578947368421,98.2847005010514
26.72,224159,216324,61.2244897959184,13.1578947368421,98.2847005010514
26.74,224220,216177,61.2244897959184,13.1578947368421,98.2847005010514
26.76,224247,216282,61.2244897959184,13.1578947368421,98.2847005010514
26.78,224417,216248,61.2244897959184,13.1578947368421,98.2847005010514
26.8,224494,216319,61.2244897959184,13.1578947368421,98.2847005010514
26.82,224590,216300,61.2244897959184,13.1578947368421,98.2847005010514
26.84,224636,216339,61.2244897959184,13.1578947368421,98.2847005010514
26.86,224748,216491,61.2244897959184,13.1578947368421,98.2847005010514
26.88,224868,216373,61.2244897959184,13.1578947368421,98.2847005010514
26.9,224921,216541,61.2244897959184,13.1578947368421,98.2847005010514
26.92,225037,216406,61.2244897959184,13.1578947368421,98.2847005010514
26.94,225108,216477,61.2244897959184,13.1578947368421,98.2847005010514
26.96,225203,216657,61.2244897959184,13.1578947368421,98.2847005010514
26.98,225315,216465,61.2244897959184,13.1578947368421,98.2847005010514
27,225352,216568,61.2244897959184,13.1578947368421,98.2847005010514
27.02,225464,216746,61.2244897959184,13.1578947368421,98.2847005010514
27.04,225570,216562,61.2244897959184,13.1578947368421,98.2847005010514
27.06,225628,216635,61.2244897959184,13.1578947368421,98.2847005010514
27.08,225750,216807,61.2244897959184,13.1578947368421,98.2847005010514
27.1,225867,216693,61.2244897959184,13.1578947368421,98.2847005010514
27.12,226065,216746,61.2244897959184,13.1578947368421,98.2847005010514
27.14,225989,216926,61.2244897959184,13.1578947368421,98.2847005010514
27.16,226135,216809,61.2244897959184,13.1578947368421,98.2847005010514
27.18,226351,216805,58.8235294117647,13.1578947368421,98.2847005010514
27.2,226322,217011,58.8235294117647,13.1578947368421,98.2847005010514
27.22,226429,216887,58.8235294117647,13.1578947368421,98.2847005010514
27.24,226518,216918,58.8235294117647,13.1578947368421,98.2847005010514
27.26,226612,217091,58.8235294117647,13.1578947368421,98.2847005010514
27.28,226661,216977,58.8235294117647,13.1578947368421,98.2847005010514
27.3,226725,216952,58.8235294117647,13.1578947368421,98.2847005010514
27.32,226426,217069,58.8235294117647,13.1578947368421,98.2847005010514
27.34,226196,216858,58.8235294117647,13.1578947368421,98.2847005010514
27.36,225980,216738,58.8235294117647,13.1578947368421,98.2847005010514
27.38,225661,216772,58.8235294117647,13.1578947368421,98.2847005010514
27.4,225477,216577,58.8235294117647,13.1578947368421,98.2847005010514
27.42,225392,216491,58.8235294117647,13.1578947368421,98.2847005010514
27.44,225176,216567,58.8235294117647,13.1578947368421,98.2847005010514
27.46,225027,216402,58.8235294117647,13.1578947368421,98.2847005010514
27.48,224957,216358,58.8235294117647,13.1578947368421,98.2847005010514
27.5,224871,216376,58.8235294117647,13.1578947368421,98.2847005010514
27.52,224846,216197,58.8235294117647,13.1578947368421,98.2847005010514
27.54,224869,216279,58.8235294117647,13.1578947368421,98.2847005010514
27.56,224967,216199,58.8235294117647,13.1578947368421,98.2847005010514
27.58,225028,216322,58.8235294117647,13.1578947368421,98.2847005010514
27.6,225086,216219,58.8235294117647,13.1578947368421,98.2847005010514
27.62,225104,216353,58.8235294117647,13.1578947368421,98.2847005010514
27.64,225161,216238,58.8235294117647,13.1578947368421,98.2847005010514
27.66,225176,216350,58.8235294117647,13.1578947368421,98.2847005010514
27.68,225234,216266,58.8235294117647,13.1578947368421,98.2847005010514
27.7,225271,216382,58.8235294117647,13.1578947368421,98.2847005010514
27.72,225342,216359,58.8235294117647,13.1578947368421,98.2847005010514
27.74,225410,216396,58.8235294117647,13.1578947368421,98.2847005010514
27.76,225497,216571,58.8235294117647,13.1578947368421,98.2847005010514
27.78,225595,216433,58.8235294117647,13.1578947368421,98.2847005010514
27.8,225642,216570,58.8235294117647,13.1578947368421,98.2847005010514
27.82,225731,216458,58.8235294117647,13.1578947368421,98.2847005010514
27.84,225821,216539,58.8235294117647,13.1578947368421,98.2847005010514
27.86,225863,216510,58.8235294117647,13.1578947368421,98.2847005010514
27.88,226078,216537,58.8235294117647,13.1578947368421,98.2847005010514
27.9,226025,216724,58.8235294117647,13.1578947368421,98.2847005010514
27.92,226120,216571,58.8235294117647,13.1578947368421,98.2847005010514
27.94,226159,216642,58.8235294117647,13.1578947368421,98.2847005010514
27.96,226260,216637,58.8235294117647,13.1578947368421,98.2847005010514
27.98,226291,216626,58.8235294117647,13.1578947368421,98.2847005010514
28,226420,216705,58.8235294117647,13.1578947368421,98.2847005010514
28.02,226506,216722,58.8235294117647,13.1578947368421,98.2847005010514
28.04,226545,216710,58.8235294117647,13.1578947368421,98.2847005010514
28.06,226653,216783,58.8235294117647,13.1578947368421,98.2847005010514
28.08,226738,216759,58.8235294117647,13.1578947368421,98.2847005010514
28.1,226756,216771,58.8235294117647,13.1578947368421,98.2847005010514
28.12,226904,216868,58.8235294117647,13.1578947368421,98.2847005010514
28.14,227011,216868,58.8235294117647,13.1578947368421,98.2847005010514
28.16,227061,216840,58.8235294117647,13.1578947368421,98.2847005010514
28.18,227156,216925,58.8235294117647,13.1578947368421,98.2847005010514
28.2,227235,216949,58.8235294117647,13.1578947368421,98.2847005010514
28.22,227308,216884,58.8235294117647,13.1578947368421,98.2847005010514
28.24,227404,216981,58.8235294117647,13.1578947368421,98.2847005010514
28.26,227472,217077,58.8235294117647,13.1578947368421,98.2847005010514
28.28,227592,216951,58.8235294117647,13.1578947368421,98.2847005010514
28.3,227594,217056,58.8235294117647,13.1578947368421,98.2847005010514
28.32,227645,217225,58.8235294117647,13.1578947368421,98.2847005010514
28.34,227602,217002,58.8235294117647,13.1578947368421,98.2847005010514
28.36,227389,217008,58.8235294117647,13.1578947368421,98.2847005010514
28.38,227191,217062,58.8235294117647,13.1578947368421,98.2847005010514
28.4,227033,216816,58.8235294117647,13.1578947368421,98.2847005010514
28.42,226864,216784,58.8235294117647,13.1578947368421,98.2847005010514
28.44,226780,216901,58.8235294117647,13.1578947368421,98.2847005010514
28.46,226698,216703,58.8235294117647,13.1578947368421,98.2847005010514
28.48,226714,216650,58.8235294117647,13.1578947368421,98.2847005010514
28.5,226472,216776,58.8235294117647,13.1578947368421,98.2847005010514
28.52,226452,216599,58.8235294117647,13.1578947368421,98.2847005010514
28.54,226506,216550,58.8235294117647,13.1578947368421,98.2847005010514
28.56,226432,216698,58.8235294117647,13.1578947368421,98.2847005010514
28.58,226561,216451,58.8235294117647,13.1578947368421,98.2847005010514
28.6,226524,216697,58.8235294117647,13.1578947368421,98.2847005010514
28.62,226664,216480,58.8235294117647,13.1578947368421,98.2847005010514
28.64,226594,216712,58.8235294117647,13.1578947368421,98.2847005010514
28.66,226688,216481,58.8235294117647,13.1578947368421,98.2847005010514
28.68,226644,216693,58.8235294117647,13.1578947368421,98.2847005010514
28.7,226736,216539,58.8235294117647,13.1578947368421,98.2847005010514
28.72,226701,216729,58.8235294117647,13.1578947368421,98.2847005010514
28.74,226756,216572,58.8235294117647,13.1578947368421,98.2847005010514
28.76,226790,216686,58.8235294117647,13.1578947368421,98.2847005010514
28.78,226792,216613,58.8235294117647,13.1578947368421,98.2847005010514
28.8,226919,216672,58.8235294117647,13.1578947368421,98.2847005010514
28.82,226978,216602,58.8235294117647,13.1578947368421,98.2847005010514
