time,IR,RED
15.06,230299,217658
15.08,230140,217572
15.1,229817,217528
15.12,229603,217508
15.14,229389,217308
15.16,229102,217283
15.18,228984,217311
15.2,228824,217120
15.22,228609,217123
15.24,228476,217157
15.26,228381,216963
15.28,228277,217036
15.3,228272,216835
15.32,228280,217039
15.34,228331,216918
15.36,228317,217058
15.38,228338,216899
15.4,228318,217066
15.42,228336,216940
15.44,228332,217043
15.46,228337,216975
15.48,228355,217059
15.5,228361,217101
15.52,228442,217062
15.54,228486,217240
15.56,228541,217076
15.58,228543,217206
15.6,228636,217178
15.62,228653,217203
15.64,228651,217228
15.66,228790,217192
15.68,228756,217335
15.7,228854,217288
15.72,228976,217275
15.74,228944,217419
15.76,229025,217347
15.78,229160,217323
15.8,229132,217518
15.82,229217,217370
15.84,229374,217408
15.86,229283,217580
15.88,229401,217521
15.9,229529,217489
15.92,229537,217627
15.94,229586,217501
15.96,229730,217540
15.98,229630,217700
16,229754,217632
16.02,229895,217584
16.04,229897,217761
16.06,229923,217654
16.08,230081,217707
16.1,230096,217782
16.12,230083,217755
16.14,230163,217746
16.16,229981,217830
16.18,229690,217656
16.2,229476,217590
16.22,229178,217546
16.24,228915,217396
16.26,228779,217328
16.28,228592,217324
16.3,228340,217203
16.32,228265,217177
16.34,228085,217198
16.36,227961,217068
16.38,227926,217031
16.4,227920,217127
16.42,227955,217024
16.44,227955,217142
16.46,227972,217069
16.48,227963,217235
16.5,227963,217011
16.52,227964,217206
16.54,228044,216987
16.56,228074,217217
16.58,228152,217066
16.6,228114,217231
16.62,228125,217093
16.64,228232,217181
16.66,228286,217127
16.68,228321,217210
16.7,228286,217240
16.72,228466,217206
16.74,228430,217369
16.76,228540,217224
16.78,228565,217314
16.8,228597,217354
16.82,228715,217334
16.84,228704,217449
16.86,228784,217396
16.88,228970,217397
16.9,228837,217551
16.92,228997,217495
16.94,229144,217447
16.96,229088,217620
16.98,229131,217529
17,229283,217576
17.02,229316,217644
17.04,229310,217557
17.06,229453,217630
17.08,229432,217693
17.1,229522,217610
17.12,229623,217669
17.14,229674,217790
17.16,229676,217688
17.18,229791,217727
17.2,229870,217808
17.22,229806,217740
17.24,229725,217702
17.26,229516,217698
17.28,229222,217574
17.3,228943,217470
17.32,228710,217443
17.34,228494,217332
17.36,228252,217188
17.38,228126,217218
17.4,227985,217159
17.42,227807,217036
17.44,227690,217084
17.46,227636,217084
17.48,227636,217044
17.5,227668,217118
17.52,227686,217059
17.54,227703,217076
17.56,227692,217085
17.58,227699,217118
17.6,227702,217082
17.62,227711,217121
17.64,227707,217084
17.66,227808,217258
17.68,227873,217086
17.7,227866,217249
17.72,227898,217148
17.74,227996,217233
17.76,228052,217176
17.78,228083,217272
17.8,228102,217238
17.82,228272,217275
17.84,228208,217410
17.86,228320,217261
17.88,228308,217324
17.9,228405,217471
17.92,228513,217291
17.94,228540,217380
17.96,228587,217557
17.98,228657,217464
18,228753,217446
18.02,228804,217609
18.04,228870,217452
18.06,228987,217514
18.08,228976,217649
18.1,229067,217496
18.12,229105,217579
18.14,229177,217662
18.16,229278,217550
18.18,229312,217664
18.2,229401,217657
18.22,229399,217651
18.24,229521,217742
18.26,229531,217778
18.28,229431,217681
18.3,229306,217714
18.32,228984,217584
18.34,228703,217478
18.36,228381,217456
18.38,228190,217336
18.4,228051,217257
18.42,227774,217291
18.44,227646,217193
18.46,227569,217063
18.48,227361,217147
18.5,227283,217004
18.52,227299,217057
18.54,227330,217000
18.56,227358,217090
18.58,227383,217040
18.6,227386,217086
18.62,227367,217052
18.64,227389,217094
18.66,227404,217068
18.68,227389,217137
18.7,227499,217102
18.72,227506,217143
18.74,227563,217127
18.76,227608,217171
18.78,227678,217276
18.8,227821,217108
18.82,227785,217336
18.84,227812,217172
18.86,227914,217283
18.88,227908,217296
18.9,228081,217276
18.92,228053,217419
18.94,228174,217360
18.96,228188,217341
18.98,228264,217412
19,228345,217352
19.02,228393,217412
19.04,228473,217497
19.06,228473,217434
19.08,228612,217503
19.1,228684,217516
19.12,228772,217479
19.14,228834,217622
19.16,228833,217584
19.18,228958,217570
19.2,229047,217687
19.22,229044,217645
19.24,229233,217634
19.26,229220,217777
19.28,229166,217692
19.3,229057,217672
19.32,228775,217664
19.34,228374,217461
19.36,228124,217382
19.38,227856,217333
19.4,227632,217166
19.42,227438,217058
19.44,227260,217090
19.46,227014,216989
19.48,226939,216938
19.5,226844,216953
19.52,226856,216894
19.54,226881,216963
19.56,226929,216919
19.58,226952,217004
19.6,226938,216944
19.62,226942,217002
19.64,226911,216975
19.66,226936,217026
19.68,226960,216975
19.7,226972,217036
19.72,227088,216978
19.74,227109,217069
19.76,227158,217051
19.78,227150,217056
